"BehaviorSpace results (NetLogo 6.2.0)"
"Klein_Assignment6_code.nlogo"
"blue_fertility_and_carrying_capacity"
"03/06/2021 15:07:11:218 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","ticks"
"193","500","2","4","15","15"
"194","500","2","4","13","13"
"195","500","2","4","13","13"
"196","500","2","4","13","13"
"197","500","2","4","11","11"
"198","500","2","4","14","14"
"199","500","2","4","12","12"
"200","500","2","4","13","13"
"201","500","2","4.1","10","10"
"189","500","2","3.9","12","12"
"202","500","2","4.1","12","12"
"203","500","2","4.1","11","11"
"204","500","2","4.1","14","14"
"206","500","2","4.1","9","9"
"207","500","2","4.1","18","18"
"209","500","2","4.1","11","11"
"208","500","2","4.1","12","12"
"210","500","2","4.1","14","14"
"211","500","2","4.2","14","14"
"212","500","2","4.2","16","16"
"213","500","2","4.2","10","10"
"214","500","2","4.2","11","11"
"215","500","2","4.2","9","9"
"205","500","2","4.1","12","12"
"216","500","2","4.2","14","14"
"217","500","2","4.2","13","13"
"218","500","2","4.2","14","14"
"220","500","2","4.2","13","13"
"221","500","2","4.3","11","11"
"222","500","2","4.3","8","8"
"225","500","2","4.3","9","9"
"224","500","2","4.3","12","12"
"223","500","2","4.3","12","12"
"228","500","2","4.3","8","8"
"226","500","2","4.3","12","12"
"227","500","2","4.3","15","15"
"229","500","2","4.3","11","11"
"231","500","2","4.4","9","9"
"230","500","2","4.3","13","13"
"232","500","2","4.4","10","10"
"234","500","2","4.4","10","10"
"219","500","2","4.2","16","16"
"233","500","2","4.4","16","16"
"235","500","2","4.4","10","10"
"236","500","2","4.4","10","10"
"239","500","2","4.4","12","12"
"238","500","2","4.4","13","13"
"240","500","2","4.4","8","8"
"241","500","2","4.5","10","10"
"242","500","2","4.5","10","10"
"243","500","2","4.5","11","11"
"244","500","2","4.5","11","11"
"245","500","2","4.5","12","12"
"246","500","2","4.5","11","11"
"247","500","2","4.5","12","12"
"248","500","2","4.5","10","10"
"237","500","2","4.4","11","11"
"249","500","2","4.5","14","14"
"250","500","2","4.5","10","10"
"251","500","2","4.6","12","12"
"253","500","2","4.6","10","10"
"254","500","2","4.6","9","9"
"255","500","2","4.6","13","13"
"256","500","2","4.6","11","11"
"257","500","2","4.6","9","9"
"259","500","2","4.6","8","8"
"258","500","2","4.6","12","12"
"260","500","2","4.6","13","13"
"252","500","2","4.6","9","9"
"261","500","2","4.7","11","11"
"262","500","2","4.7","10","10"
"263","500","2","4.7","12","12"
"265","500","2","4.7","9","9"
"266","500","2","4.7","9","9"
"267","500","2","4.7","9","9"
"268","500","2","4.7","14","14"
"269","500","2","4.7","10","10"
"270","500","2","4.7","13","13"
"272","500","2","4.8","11","11"
"264","500","2","4.7","11","11"
"271","500","2","4.8","17","17"
"273","500","2","4.8","14","14"
"276","500","2","4.8","9","9"
"274","500","2","4.8","15","15"
"277","500","2","4.8","9","9"
"275","500","2","4.8","7","7"
"278","500","2","4.8","9","9"
"280","500","2","4.8","9","9"
"279","500","2","4.8","9","9"
"282","500","2","4.9","11","11"
"283","500","2","4.9","11","11"
"284","500","2","4.9","11","11"
"285","500","2","4.9","9","9"
"287","500","2","4.9","10","10"
"286","500","2","4.9","10","10"
"281","500","2","4.9","13","13"
"288","500","2","4.9","11","11"
"289","500","2","4.9","10","10"
"290","500","2","4.9","11","11"
"292","500","2","5","10","10"
"293","500","2","5","10","10"
"294","500","2","5","10","10"
"295","500","2","5","12","12"
"296","500","2","5","8","8"
"297","500","2","5","12","12"
"298","500","2","5","9","9"
"291","500","2","5","11","11"
"300","500","2","5","13","13"
"299","500","2","5","18","18"
"301","1000","2","2.1","109","109"
"303","1000","2","2.1","184","184"
"305","1000","2","2.1","124","124"
"304","1000","2","2.1","318","318"
"306","1000","2","2.1","141","141"
"307","1000","2","2.1","179","179"
"308","1000","2","2.1","135","135"
"309","1000","2","2.1","160","160"
"311","1000","2","2.2","86","86"
"302","1000","2","2.1","189","189"
"312","1000","2","2.2","88","88"
"313","1000","2","2.2","54","54"
"315","1000","2","2.2","84","84"
"316","1000","2","2.2","83","83"
"310","1000","2","2.1","331","331"
"317","1000","2","2.2","95","95"
"314","1000","2","2.2","66","66"
"318","1000","2","2.2","92","92"
"319","1000","2","2.2","83","83"
"320","1000","2","2.2","70","70"
"322","1000","2","2.3","48","48"
"323","1000","2","2.3","60","60"
"324","1000","2","2.3","57","57"
"325","1000","2","2.3","64","64"
"326","1000","2","2.3","65","65"
"328","1000","2","2.3","57","57"
"327","1000","2","2.3","81","81"
"329","1000","2","2.3","51","51"
"321","1000","2","2.3","70","70"
"330","1000","2","2.3","44","44"
"332","1000","2","2.4","42","42"
"331","1000","2","2.4","67","67"
"334","1000","2","2.4","53","53"
"336","1000","2","2.4","51","51"
"335","1000","2","2.4","59","59"
"337","1000","2","2.4","58","58"
"339","1000","2","2.4","44","44"
"333","1000","2","2.4","58","58"
"338","1000","2","2.4","61","61"
"340","1000","2","2.4","41","41"
"341","1000","2","2.5","34","34"
"343","1000","2","2.5","47","47"
"344","1000","2","2.5","42","42"
"346","1000","2","2.5","31","31"
"347","1000","2","2.5","39","39"
"345","1000","2","2.5","58","58"
"342","1000","2","2.5","53","53"
"348","1000","2","2.5","38","38"
"349","1000","2","2.5","36","36"
"350","1000","2","2.5","56","56"
"353","1000","2","2.6","27","27"
"352","1000","2","2.6","50","50"
"351","1000","2","2.6","30","30"
"354","1000","2","2.6","34","34"
"355","1000","2","2.6","43","43"
"356","1000","2","2.6","43","43"
"358","1000","2","2.6","34","34"
"359","1000","2","2.6","33","33"
"360","1000","2","2.6","29","29"
"361","1000","2","2.7","30","30"
"362","1000","2","2.7","32","32"
"363","1000","2","2.7","25","25"
"357","1000","2","2.6","51","51"
"364","1000","2","2.7","38","38"
"365","1000","2","2.7","32","32"
"366","1000","2","2.7","31","31"
"368","1000","2","2.7","37","37"
"369","1000","2","2.7","30","30"
"367","1000","2","2.7","25","25"
"370","1000","2","2.7","35","35"
"371","1000","2","2.8","27","27"
"372","1000","2","2.8","24","24"
"375","1000","2","2.8","24","24"
"374","1000","2","2.8","35","35"
"376","1000","2","2.8","35","35"
"377","1000","2","2.8","29","29"
"373","1000","2","2.8","30","30"
"378","1000","2","2.8","32","32"
"379","1000","2","2.8","25","25"
"380","1000","2","2.8","28","28"
"382","1000","2","2.9","24","24"
"383","1000","2","2.9","24","24"
"385","1000","2","2.9","23","23"
"386","1000","2","2.9","20","20"
"384","1000","2","2.9","35","35"
"381","1000","2","2.9","34","34"
"387","1000","2","2.9","24","24"
"388","1000","2","2.9","25","25"
"389","1000","2","2.9","29","29"
"391","1000","2","3","20","20"
"392","1000","2","3","25","25"
"393","1000","2","3","21","21"
"390","1000","2","2.9","20","20"
"394","1000","2","3","25","25"
"395","1000","2","3","23","23"
"396","1000","2","3","21","21"
"398","1000","2","3","25","25"
"399","1000","2","3","17","17"
"401","1000","2","3.1","15","15"
"400","1000","2","3","22","22"
"397","1000","2","3","21","21"
"402","1000","2","3.1","23","23"
"404","1000","2","3.1","18","18"
"403","1000","2","3.1","20","20"
"406","1000","2","3.1","19","19"
"407","1000","2","3.1","16","16"
"408","1000","2","3.1","22","22"
"409","1000","2","3.1","18","18"
"410","1000","2","3.1","24","24"
"411","1000","2","3.2","18","18"
"405","1000","2","3.1","28","28"
"412","1000","2","3.2","22","22"
"413","1000","2","3.2","19","19"
"414","1000","2","3.2","21","21"
"416","1000","2","3.2","17","17"
"415","1000","2","3.2","19","19"
"418","1000","2","3.2","19","19"
"417","1000","2","3.2","22","22"
"419","1000","2","3.2","16","16"
"421","1000","2","3.3","15","15"
"422","1000","2","3.3","14","14"
"423","1000","2","3.3","22","22"
"420","1000","2","3.2","20","20"
"425","1000","2","3.3","17","17"
"426","1000","2","3.3","15","15"
"424","1000","2","3.3","27","27"
"429","1000","2","3.3","16","16"
"428","1000","2","3.3","21","21"
"427","1000","2","3.3","18","18"
"430","1000","2","3.3","24","24"
"431","1000","2","3.4","13","13"
"432","1000","2","3.4","20","20"
"434","1000","2","3.4","20","20"
"435","1000","2","3.4","17","17"
"436","1000","2","3.4","20","20"
"437","1000","2","3.4","13","13"
"433","1000","2","3.4","18","18"
"438","1000","2","3.4","20","20"
"439","1000","2","3.4","18","18"
"440","1000","2","3.4","17","17"
"442","1000","2","3.5","20","20"
"443","1000","2","3.5","17","17"
"441","1000","2","3.5","13","13"
"444","1000","2","3.5","22","22"
"445","1000","2","3.5","15","15"
"446","1000","2","3.5","18","18"
"448","1000","2","3.5","16","16"
"449","1000","2","3.5","17","17"
"450","1000","2","3.5","16","16"
"451","1000","2","3.6","17","17"
"447","1000","2","3.5","19","19"
"452","1000","2","3.6","17","17"
"454","1000","2","3.6","15","15"
"453","1000","2","3.6","19","19"
"456","1000","2","3.6","16","16"
"457","1000","2","3.6","14","14"
"458","1000","2","3.6","15","15"
"459","1000","2","3.6","12","12"
"460","1000","2","3.6","15","15"
"461","1000","2","3.7","13","13"
"462","1000","2","3.7","15","15"
"455","1000","2","3.6","24","24"
"464","1000","2","3.7","14","14"
"463","1000","2","3.7","16","16"
"465","1000","2","3.7","14","14"
"468","1000","2","3.7","15","15"
"467","1000","2","3.7","18","18"
"469","1000","2","3.7","15","15"
"466","1000","2","3.7","12","12"
"470","1000","2","3.7","13","13"
"472","1000","2","3.8","14","14"
"471","1000","2","3.8","19","19"
"474","1000","2","3.8","14","14"
"476","1000","2","3.8","15","15"
"473","1000","2","3.8","14","14"
"475","1000","2","3.8","16","16"
"480","1000","2","3.8","13","13"
"477","1000","2","3.8","23","23"
"478","1000","2","3.8","15","15"
"483","1000","2","3.9","12","12"
"479","1000","2","3.8","14","14"
"482","1000","2","3.9","15","15"
"481","1000","2","3.9","23","23"
"486","1000","2","3.9","12","12"
"484","1000","2","3.9","16","16"
"487","1000","2","3.9","13","13"
"488","1000","2","3.9","14","14"
"489","1000","2","3.9","14","14"
"485","1000","2","3.9","14","14"
"490","1000","2","3.9","16","16"
"491","1000","2","4","15","15"
"492","1000","2","4","15","15"
"494","1000","2","4","11","11"
"493","1000","2","4","15","15"
"496","1000","2","4","15","15"
"495","1000","2","4","18","18"
"497","1000","2","4","14","14"
"499","1000","2","4","13","13"
"500","1000","2","4","13","13"
"501","1000","2","4.1","12","12"
"498","1000","2","4","13","13"
"503","1000","2","4.1","12","12"
"502","1000","2","4.1","12","12"
"504","1000","2","4.1","13","13"
"506","1000","2","4.1","10","10"
"507","1000","2","4.1","16","16"
"508","1000","2","4.1","16","16"
"509","1000","2","4.1","12","12"
"505","1000","2","4.1","14","14"
"511","1000","2","4.2","10","10"
"512","1000","2","4.2","15","15"
"510","1000","2","4.1","20","20"
"514","1000","2","4.2","10","10"
"515","1000","2","4.2","11","11"
"516","1000","2","4.2","13","13"
"517","1000","2","4.2","14","14"
"513","1000","2","4.2","15","15"
"518","1000","2","4.2","13","13"
"519","1000","2","4.2","16","16"
"520","1000","2","4.2","14","14"
"521","1000","2","4.3","15","15"
"522","1000","2","4.3","15","15"
"523","1000","2","4.3","12","12"
"524","1000","2","4.3","13","13"
"527","1000","2","4.3","14","14"
"528","1000","2","4.3","13","13"
"525","1000","2","4.3","12","12"
"526","1000","2","4.3","18","18"
"530","1000","2","4.3","11","11"
"529","1000","2","4.3","13","13"
"532","1000","2","4.4","13","13"
"531","1000","2","4.4","14","14"
"533","1000","2","4.4","11","11"
"534","1000","2","4.4","11","11"
"535","1000","2","4.4","12","12"
"537","1000","2","4.4","9","9"
"538","1000","2","4.4","14","14"
"539","1000","2","4.4","11","11"
"536","1000","2","4.4","11","11"
"540","1000","2","4.4","16","16"
"541","1000","2","4.5","11","11"
"542","1000","2","4.5","17","17"
"544","1000","2","4.5","12","12"
"545","1000","2","4.5","13","13"
"543","1000","2","4.5","13","13"
"546","1000","2","4.5","14","14"
"547","1000","2","4.5","12","12"
"548","1000","2","4.5","11","11"
"550","1000","2","4.5","13","13"
"551","1000","2","4.6","11","11"
"549","1000","2","4.5","13","13"
"552","1000","2","4.6","11","11"
"553","1000","2","4.6","12","12"
"555","1000","2","4.6","9","9"
"554","1000","2","4.6","14","14"
"556","1000","2","4.6","12","12"
"557","1000","2","4.6","11","11"
"558","1000","2","4.6","10","10"
"559","1000","2","4.6","17","17"
"561","1000","2","4.7","12","12"
"560","1000","2","4.6","20","20"
"563","1000","2","4.7","9","9"
"562","1000","2","4.7","10","10"
"564","1000","2","4.7","12","12"
"566","1000","2","4.7","9","9"
"565","1000","2","4.7","12","12"
"570","1000","2","4.7","9","9"
"569","1000","2","4.7","12","12"
"567","1000","2","4.7","10","10"
"568","1000","2","4.7","16","16"
"571","1000","2","4.8","10","10"
"572","1000","2","4.8","11","11"
"574","1000","2","4.8","11","11"
"576","1000","2","4.8","8","8"
"575","1000","2","4.8","10","10"
"573","1000","2","4.8","13","13"
"577","1000","2","4.8","15","15"
"578","1000","2","4.8","12","12"
"579","1000","2","4.8","12","12"
"581","1000","2","4.9","9","9"
"582","1000","2","4.9","10","10"
"583","1000","2","4.9","9","9"
"584","1000","2","4.9","11","11"
"585","1000","2","4.9","10","10"
"580","1000","2","4.8","18","18"
"586","1000","2","4.9","11","11"
"588","1000","2","4.9","10","10"
"590","1000","2","4.9","10","10"
"587","1000","2","4.9","16","16"
"589","1000","2","4.9","10","10"
"592","1000","2","5","9","9"
"593","1000","2","5","11","11"
"591","1000","2","5","15","15"
"595","1000","2","5","10","10"
"594","1000","2","5","10","10"
"597","1000","2","5","9","9"
"596","1000","2","5","12","12"
"598","1000","2","5","10","10"
"600","1000","2","5","11","11"
"599","1000","2","5","10","10"
"602","1500","2","2.1","180","180"
"603","1500","2","2.1","182","182"
"601","1500","2","2.1","229","229"
"605","1500","2","2.1","142","142"
"604","1500","2","2.1","195","195"
"607","1500","2","2.1","162","162"
"606","1500","2","2.1","257","257"
"608","1500","2","2.1","135","135"
"610","1500","2","2.1","121","121"
"611","1500","2","2.2","87","87"
"612","1500","2","2.2","80","80"
"613","1500","2","2.2","81","81"
"614","1500","2","2.2","106","106"
"615","1500","2","2.2","97","97"
"609","1500","2","2.1","184","184"
"616","1500","2","2.2","92","92"
"617","1500","2","2.2","96","96"
"618","1500","2","2.2","101","101"
